Descriptor_Set,DR_Method,Clustering,ARI_vs_Baseline,N_Clusters,Silhouette,Davies_Bouldin
Morgan_FP,t-SNE,DBSCAN,-0.0056260439920991084,11,1.0,2.8605378692807443e-07
Morgan_FP,KMeans,KMeans_4,0.031585690766728035,4,0.34136104583740234,1.0115021407770877
Morgan_FP,KMeans,KMeans_6,0.06915416914846363,6,0.4003712832927704,0.7506137394414485
Morgan_FP,Hierarchical,Hierarchical_4,0.17683717607482718,4,0.3091294467449188,0.9778888304441548
Morgan_FP,t-SNE,HDBSCAN,0.10719442910755089,22,0.6995512247085571,0.5024823307043047
Morgan_FP,UMAP,DBSCAN,0.21096744568767214,17,0.8472369313240051,0.15677594341218337
Morgan_FP,KMeans,KMeans_4,0.17678716113895795,4,0.6166423559188843,0.7033489801866133
Morgan_FP,KMeans,KMeans_6,0.1767578791050613,6,0.6607910394668579,0.6116854771272141
Morgan_FP,Hierarchical,Hierarchical_4,0.17791331056359527,4,0.6201618313789368,0.6967158054388357
Morgan_FP,UMAP,HDBSCAN,0.08798816356879943,24,0.8137297630310059,0.21553914054211362
